source_pdf,pages,text_extracted,tables_detected,projects_detected,reporting_month_detected,ocr_used,extraction_status,confidence
FR_feb_2021.pdf,738,True,657,11525,2021-02,False,SUCCESS,1.0
FR_feb_2022.pdf,730,True,647,10826,2022-02,False,SUCCESS,1.0
FR_feb_2023.pdf,711,True,620,10133,2023-02,False,SUCCESS,1.0
FR_jan_2016.pdf,349,True,299,5411,2016-01,False,SUCCESS,1.0
FR_feb_2024.pdf,779,True,732,11535,2024-02,False,SUCCESS,1.0
FR_jan_2017.pdf,384,True,314,5665,2017-01,False,SUCCESS,1.0
FR_jan_2018.pdf,401,True,333,5856,2018-01,False,SUCCESS,1.0
FR_jul_2014.pdf,211,True,157,2962,2014-07,False,SUCCESS,1.0
FR_jan_Report_2019.pdf,501,True,431,7963,2019-01,False,SUCCESS,1.0
FR_jan_2022.pdf,720,True,638,11103,2022-01,False,SUCCESS,1.0
FR_jan_2021.pdf,768,True,674,11720,2021-01,False,SUCCESS,1.0
FR_jan_2024.pdf,724,True,679,10741,2024-01,False,SUCCESS,1.0
FR_jan_2023.pdf,742,True,653,10485,2023-01,False,SUCCESS,1.0
FR_jul_2016.pdf,374,True,334,6005,2016-07,False,SUCCESS,1.0
FR_jan_Report_2020.pdf,647,True,558,9849,2020-01,False,SUCCESS,1.0
FR_july_2015.pdf,260,True,209,3687,2015-07,False,SUCCESS,1.0
FR_july_2017.pdf,366,True,300,5576,2017-07,False,SUCCESS,1.0
FR_july_2018.pdf,500,True,431,7821,2018-07,False,SUCCESS,1.0
